Eating 1,Eating 2,Eating 3,Eating 4,Eating 5,Old 1,Old 2,Old 3,Old 4,Old 5,Nightstand 1,Nightstand 2,Nightstand 3,Nightstand 4,Nightstand 5,Crossroad 1,Crossroad 2,Crossroad 3,Crossroad 4,Crossroad 5
food 111,horse 78,food 144,food 129,food 81,old 74,boat 117,old 94,look 67,phone 143,bed 105,bed 112,bed 103,nightstand 93,bed 90,road 87,track 63,road 85,sign 89,road 84
person 64,eating 69,person 80,eating 67,eating 76,paint 46,old 67,photo 71,old 66,old 91,nightstand 93,nightstand 93,nightstand 89,table 75,nightstand 80,stop 44,road 61,crossroad 50,street 83,crossroad 44
eating 63,licking 61,eating 63,person 38,cake 57,look 38,paint 43,white 58,room 37,technology 25,lamp 56,table 45,lamp 59,bed 60,stand 43,street 41,train 57,stop 44,road 62,light 42
table 44,food 46,mouth 62,kitchen 30,picture 34,clock 34,look 38,black 57,modern 35,cell 25,table 44,lamp 42,next 47,bedroom 30,table 28,sign 36,crossroad 52,sign 41,crossroad 56,street 40
plate 39,animal 34,plate 52,plate 23,plate 33,door 29,time 31,picture 47,new 35,model 23,small 43,clock 29,table 43,dining 29,next 27,crossroad 32,cro 27,street 32,cro 22,traffic 39
mouth 28,block 31,table 44,one 22,fork 32,time 27,water 18,man 28,everything 22,screen 18,side 31,small 28,small 43,restaurant 28,tv 25,cro 25,picture 17,cro 24,picture 17,direction 25
fork 28,salt 28,putting 34,mouth 21,eat 26,peeling 27,long 13,style 26,nothing 20,new 18,next 26,next 19,book 33,photo 25,picture 24,intersect 19,rail 15,intersection 23,image 17,cro 25
sitting 26,mouth 28,hand 22,preparing 19,one 23,rust 19,rust 12,color 25,picture 17,older 16,stand 22,phone 17,object 14,room 21,room 23,traffic 18,image 15,direction 21,way 16,sign 19
front 24,something 24,sitting 20,picture 18,person 20,broken 19,worn 12,image 23,clean 15,year 15,usually 21,object 15,usually 14,usually 18,bedroom 21,direction 15,street 13,meet 12,spring 14,intersect 13
hand 20,eat 21,eat 19,eat 16,eaten 20,wood 16,image 12,clothing 20,image 15,used 14,night 15,stand 15,stand 13,picture 18,entertainment 17,right 10,railroad 13,intersect 11,direction 13,crossing 12
utensil 20,tongue 21,woman 17,photo 16,piece 16,metal 16,new 11,time 19,style 14,picture 14,bedroom 11,room 13,left 12,next 16,usually 14,side 10,crossing 11,crossing 11,indicate 13,intersecting 10
man 14,picture 16,restaurant 15,cooking 13,photo 16,object 16,object 10,grainy 18,furniture 12,left 13,picture 10,alarm 12,bedroom 12,chair 16,night 13,crossing 10,intersect 9,traffic 11,broadway 12,car 10
using 12,lick 16,utensil 14,chef 13,mouth 12,long 12,rusty 10,ago 17,very 12,outdated 13,book 10,hotel 12,top 11,small 14,living 12,intersection 10,intersection 9,go 11,crossing 10,image 10
photo 12,object 14,picture 13,putting 12,animal 11,very 12,peeling 9,look 16,thing 11,look 12,drawer 10,light 10,side 10,night 12,photo 12,image 9,car 8,picture 10,name 10,intersection 10
putting 11,trough 11,up 13,someone 11,someone 11,worn 11,abandoned 9,very 15,photo 10,image 12,right 10,top 10,night 10,eating 10,center 11,perpendicular 9,photo 8,way 10,intersecting 8,way 9
picture 10,donkey 8,front 12,image 9,concept 11,image 10,weathered 9,taken 14,wear 9,right 12,hold 8,usually 10,photo 10,stand 9,shelve 11,going 9,path 7,image 10,intersection 8,meet 9
human 10,look 8,right 10,prepared 8,present 10,damaged 10,wood 9,long 13,concept 9,modern 11,leg 8,night 10,right 9,found 8,small 11,picture 8,together 6,clearly 9,photo 8,stop 9
holding 9,chewing 8,fork 9,prepare 8,human 9,picture 9,photo 9,wearing 13,bed 8,photo 11,thing 7,item 10,furniture 9,furniture 8,television 9,intersecting 8,intersecting 6,intersecting 8,visible 7,signal 8
up 9,photo 7,image 9,actually 8,image 7,rusted 9,used 8,person 11,anything 8,newer 10,item 7,bedroom 10,person 8,fireplace 8,image 9,line 7,line 6,side 8,actual 7,visible 7
drink 8,brick 6,using 8,concept 8,utensil 7,item 9,down 8,age 10,appear 8,more 10,furniture 7,drawer 9,picture 8,typically 7,used 7,crosswalk 7,direction 6,right 8,perpendicular 7,point 7
eat 8,consuming 6,picking 7,eaten 7,sitting 7,thing 8,broken 8,photograph 10,item 8,touch 10,left 6,height 8,hold 8,used 7,shelf 7,left 6,railway 6,corner 8,showing 7,going 7
present 8,drinking 6,photo 7,human 7,slouse 6,damage 8,picture 7,quality 10,bright 8,one 9,used 6,found 8,piece 7,glass 7,look 6,cross 6,only 6,left 7,st 5,green 6
chewing 8,concept 6,piece 6,counter 6,putting 6,age 7,faded 7,clothe 10,age 7,button 9,room 6,look 7,corner 7,image 7,contain 6,first 6,visible 5,cross 7,intersect 5,red 6
group 8,out 5,biting 6,visible 6,prepared 5,indicate 7,appear 7,older 8,color 7,most 8,top 6,image 7,used 6,thing 5,item 6,straight 5,going 5,car 7,corner 5,coming 5
full 7,form 5,chewing 6,restaurant 6,used 5,something 7,sign 7,worn 8,retro 7,style 8,image 6,furniture 7,room 6,only 5,furniture 6,car 5,coming 4,going 7,light 4,picture 5
many 6,putting 5,human 6,only 6,ready 5,rusty 7,very 7,way 8,design 7,very 7,object 6,brown 7,height 6,lamp 5,object 5,vehicle 5,same 4,vehicle 6,building 4,shape 5
several 5,eaten 4,spoon 5,front 6,consuming 5,color 6,rusted 7,indicate 7,sign 7,age 7,often 6,picture 6,surface 5,person 4,lamp 5,way 5,cross 4,come 6,meet 4,photo 5
none 5,use 4,present 5,ready 5,actually 5,used 6,painting 6,year 7,decor 6,flip 7,seen 5,telephone 6,image 5,napkin 4,found 5,indicate 5,travel 4,travel 5,however 4,well 4
glass 5,used 4,girl 5,preparation 5,napkin 4,wear 6,age 6,ty 7,white 6,iphone 7,piece 5,hold 6,reading 5,tablecloth 4,large 5,travel 5,merging 4,sidewalk 5,facing 4,clearly 4
pick 5,ingesting 4,well 4,consuming 5,nobody 4,part 6,land 6,alway 6,object 6,today 7,placed 5,often 5,item 5,object 4,dvd 4,go 5,x 4,photo 5,indicating 4,make 4
restaurant 5,am 4,drink 4,table 5,put 4,chipping 6,dirty 6,modern 6,good 6,ago 6,head 5,right 5,desk 5,sit 4,such 4,light 4,merge 4,opposite 4,actually 4,middle 4
appear 5,way 4,holding 4,stove 5,probably 4,appear 6,color 6,fashion 6,chair 6,object 6,height 5,photo 5,typical 4,drawer 4,present 4,make 4,traffic 4,multiple 4,travel 3,line 4
often 5,place 4,clearly 4,nothing 4,future 3,well 5,out 6,well 5,bedroom 6,smartphone 6,contain 5,person 4,the 4,look 4,top 4,pedestrian 4,very 4,seen 4,angle 3,facing 4
chew 5,thing 4,someone 4,animal 4,bite 3,surface 5,well 5,short 5,newer 6,use 6,photo 5,reach 4,light 4,placed 4,area 4,middle 4,person 3,meeting 4,say 3,dark 4
meal 5,water 4,example 4,look 4,next 3,away 5,suggest 5,past 5,fresh 5,thing 6,light 4,surface 4,sit 4,present 4,electronic 4,white 4,parallel 3,visible 4,present 3,go 4
proces 5,think 4,look 4,present 4,table 3,seem 5,element 5,today 5,time 5,design 6,surface 4,piece 4,look 4,eat 4,thing 4,path 4,meet 3,first 4,taken 3,set 4
dish 5,using 4,consuming 4,white 4,act 3,rotting 5,thing 5,dated 5,suggest 5,item 6,many 4,use 4,placed 4,area 4,appear 4,meet 4,vehicle 3,path 4,pole 3,left 3
concept 5,only 4,even 4,anyone 4,thing 3,chipped 5,away 5,dres 5,older 5,time 5,example 4,place 4,put 4,mantle 4,none 4,photo 4,top 3,bottom 4,point 3,first 3
together 4,nutrient 3,often 4,put 4,taking 3,concept 5,disrepair 5,hair 5,furnishing 5,longer 5,enough 4,thing 4,notice 4,many 4,hold 4,together 3,use 3,shape 4,dont 3,person 3
take 4,definitely 3,good 4,actively 4,however 3,piece 4,apart 5,most 4,lighting 4,several 5,case 4,sitting 4,couple 4,large 4,typically 3,coming 3,come 3,person 3,enough 3,opposite 3
bite 4,maybe 3,liquid 3,back 4,now 3,area 4,sitting 5,photography 4,nice 4,past 5,good 4,typical 3,sitting 4,food 4,purpose 3,running 3,run 3,angle 3,view 3,multiple 3
put 4,liquid 3,used 3,facing 4,proces 3,weathered 4,lake 5,clear 4,aged 4,date 5,fact 3,same 3,brown 4,wine 3,several 3,multiple 3,made 3,making 3,signal 3,cross 3
down 4,mineral 3,glass 3,yet 4,only 3,apart 4,left 4,era 4,nightstand 4,many 5,well 3,sit 3,typically 3,piece 3,located 3,clearly 3,+ 2,look 3,pointing 3,need 3
image 4,hand 3,bite 3,consumed 3,soon 3,photo 4,rotting 4,appear 4,hotel 4,change 5,off 3,single 3,very 3,place 3,sometime 3,control 3,allow 2,more 3,represent 3,side 3
place 4,seem 3,act 3,else 3,represent 3,make 4,older 4,now 4,glas 4,now 5,dresser 3,placed 3,same 3,contain 3,drawer 3,second 3,switch 2,pa 3,suggest 2,look 3
taking 4,pony 3,dinner 3,used 3,order 2,suggest 4,aged 4,decade 4,damaged 4,only 5,holding 3,head 3,saw 3,smaller 3,surface 3,meeting 3,thu 2,turn 3,rather 2,vehicle 3
gathered 4,example 3,actively 3,seen 3,well 2,wall 4,fading 4,typical 3,date 4,current 5,need 3,leg 3,similar 3,covered 3,sort 3,pa 3,contain 2,plu 3,saw 2,indicate 3
time 3,case 3,dish 3,made 3,consumed 2,recently 4,seem 4,outfit 3,vintage 4,concept 5,shelve 3,notice 3,case 3,sleep 3,piece 3,checked 3,running 2,+ 3,need 2,even 3
swallowing 3,present 3,contain 3,nobody 3,same 2,rough 4,something 4,especially 3,looking 4,person 4,bookshelf 3,common 3,few 3,typical 2,medium 3,ahead 3,separate 2,pavement 3,pedestrian 2,section 3
least 3,part 3,actually 3,top 3,occur 2,pain 4,discolored 4,make 3,sleek 4,oldest 4,put 3,very 3,use 3,very 2,too 3,come 3,instead 2,south 2,am 2,continue 3
placing 3,consume 3,left 2,act 3,something 2,happen 4,indicate 4,technology 3,light 3,wear 4,bookcase 3,present 3,wall 3,cloth 2,nothing 3,indication 3,rather 2,perpendicularly 2,give 2,travel 2
checked 3,call 3,together 2,hand 3,surface 2,amount 4,chipped 4,something 3,ago 3,previou 4,reading 3,alway 3,place 3,clue 2,one 3,facing 3,angle 2,light 2,more 2,perpendicularly 2
long 3,grazing 3,side 2,however 3,pie 2,falling 4,dry 4,faded 3,use 3,appear 4,clock 3,sleep 3,thing 3,such 2,rack 3,shape 3,middle 2,running 2,information 2,think 2
dinner 3,image 3,clear 2,doing 3,actively 2,sign 4,wear 4,outdated 3,used 3,small 4,close 3,time 2,enough 3,nothing 2,put 3,move 3,well 2,symbol 2,up 2,together 2
consuming 3,appear 3,eaten 2,then 3,placed 2,out 3,falling 4,camera 3,lamp 3,blackberry 4,wooden 3,lying 2,often 3,most 2,right 3,parallel 2,similar 2,place 2,look 2,flow 2
looking 3,unsure 3,enjoyment 2,happen 3,edible 2,smooth 3,dried 4,sepium 3,relatively 3,early 4,brown 3,used 2,big 3,dresser 2,likely 3,spot 2,look 2,take 2,path 2,angle 2
shaker 3,item 3,definitely 2,cook 3,chocolate 2,way 3,gras 4,suggest 3,something 3,far 4,alway 3,clearly 2,black 3,several 2,desk 3,opposite 2,count 2,same 2,one 2,allowed 2
dining 3,gras 3,suggest 2,sitting 3,depicted 2,down 3,chipping 4,many 3,really 3,keyboard 4,normally 2,almost 2,read 2,setting 2,game 3,several 2,form 2,generally 2,seeing 2,say 2
left 2,main 3,seen 2,going 3,indicate 2,background 3,item 4,dressed 3,up 3,well 3,time 2,radio 2,off 2,need 2,only 3,angle 2,fork 2,need 2,degree 2,indicated 2
salt 2,human 3,surface 2,involf 3,visible 2,off 3,fresh 3,pictured 3,smooth 3,mobile 3,person 2,similar 2,such 2,home 2,console 3,more 2,therefore 2,example 2,think 2,control 2
element 2,person 2,something 2,time 2,consume 2,cracked 3,person 3,uniform 3,kind 3,device 3,alarm 2,rectangular 2,pair 2,surface 2,person 2,crossed 2,first 2,second 2,box 2,making 2
well 2,well 2,placed 2,room 2,first 2,frame 3,dent 3,back 3,outdated 3,even 3,short 2,double 2,most 2,located 2,short 2,photograph 2,many 2,straight 2,post 2,main 2
liquid 2,consumed 2,grabbing 2,most 2,action 2,aged 3,up 3,bit 3,way 3,pad 3,single 2,clue 2,holding 2,display 2,most 2,present 2,definition 2,east 2,pictured 2,form 2
lifting 2,i 2,taken 2,object 2,place 2,modern 3,longer 3,only 3,more 3,make 3,tall 2,function 2,get 2,rectangular 2,reach 2,judging 2,perpendicular 2,line 2,crosswalk 2,taken 2
moment 2,take 2,indicate 2,stainles 2,area 2,lot 3,off 3,maybe 2,too 3,antenna 3,ye 2,due 2,suggest 2,hold 2,multiple 2,tell 2,close 2,forming 2,one-way 2,area 2
nourishment 2,swallowing 2,least 2,lamp 2,ate 2,think 3,no 3,clearer 2,indicate 3,something 3,located 2,checked 2,again 2,alway 2,holding 2,west 2,right 2,form 2,lettering 2,second 2
multiple 2,same 2,placing 2,equipment 2,definition 2,year 3,make 3,object 2,shiny 3,worn 3,same 2,wall 2,turn 2,white 2,beside 2,area 2,level 2,north 2,side 2,one 2
clearly 2,clearly 2,set 2,clearly 2,untouched 2,aging 3,need 3,used 2,floor 3,type 3,sit 2,example 2,need 2,lot 2,arm 2,visible 2,not 2,too 2,x 2,color 2
saw 2,seen 2,one 2,seem 2,missing 2,new 3,metal 3,tie 2,wall 3,lot 3,say 2,clock/radio 2,drawer 2,addition 2,need 2,walk 2,take 2,top 2,arrow 2,stoplight 2
seem 2,good 2,action 2,something 2,object 2,design 3,decrepit 3,relatively 2,broken 3,checked 3,called 2,shared 2,is 2,one 2,placed 2,place 2,choose 2,west 2,indication 2,safely 2
then 2,cant 2,place 2,placed 2,body 2,longer 2,painted 3,film 2,fixture 3,smaller 3,made 2,appear 2,well 2,scene 2,main 2,turn 2,go 2,area 2,identifying 2,many 2
act 2,taste 2,taking 2,getting 2,living 2,fire 2,lot 3,clearly 2,contain 3,color 3,present 2,arm 2,and 2,had 2,bookshelf 2,definition 2,shape 2,checked 2,traffic 2,definition 2
spoon 2,involved 2,actual 2,photograph 2,even 2,display 2,point 3,aged 2,crisp 3,key 3,smaller 2,contain 2,up 2,larger 2,part 2,completely 2,move 2,point 2,designated 2,perpendicular 2
include 2,too 2,definition 2,diner 2,idea 2,faded 2,first 3,seem 2,condition 3,out 3,use 2,wooden 2,part 2,water 2,more 2,full 2,represent 2,many 2,above 2,driver 2
addition 2,going 2,full 2,camera 2,contain 2,up 2,amount 3,say 2,paint 3,relative 3,such 2,easily 2,it 2,utensil 2,lot 2,+ 2,joining 1,definition 2,case 2,degree 2
done 2,live 2,foreground 2,indicate 2,indication 2,made 2,many 3,certain 2,pretty 3,up 3,wall 2,one 2,resting 2,above 2,needed 2,signal 2,se 1,wait 2,going 2,direct 2
right 2,placing 2,determined 2,place 2,touching 2,ago 2,anything 3,almost 2,only 3,anymore 3,first 2,end 2,only 2,enough 2,addition 2,front 2,evenly 1,degree 2,go 2,often 2
consume 2,source 2,sign 2,anything 2,somebody 2,existed 2,beached 3,adult 2,metal 2,generation 3,place 2,going 2,checked 2,go 2,set 2,get 2,indicative 1,run 2,yellow 2,right 2
action 2,necessarily 2,meat 2,actual 2,yet 2,determine 2,missing 3,more 2,clear 2,still 3,typically 2,still 2,directly 2,often 2,first 2,connecting 2,south 1,facing 2,fact 1,sidewalk 2
cup 2,happening 2,swallowing 2,anywhere 2,serving 2,significant 2,while 3,tell 2,especially 2,side 3,getting 2,bedside 2,square 2,item 2,shelved 2,oncoming 2,part 1,good 2,order 1,x 2
picking 2,usually 2,photograph 2,appear 2,fact 1,tattered 2,year 3,suit 2,recent 2,term 3,checked 2,desk 2,definition 2,height 2,space 2,parked 2,metaphorical-when 1,set 2,normally 1,pavement 2
thu 2,licked 2,bringing 2,even 2,definitely 1,burn 2,now 3,hairstyle 2,damage 2,advanced 3,asleep 2,fact 1,then 2,not 2,qualify 2,section 1,flow 1,indicator 2,representation 1,showing 2
pepper 2,taking 2,shape 2,out 2,portion 1,often 2,state 3,point 2,deterioration 2,cellular 3,bulky 2,left 1,appear 2,desk 2,side 2,signalling 1,light 1,parked 2,time 1,only 2
even 2,anything 2,silverware 2,likely 2,element 1,disrepair 2,brown 3,tone 2,simple 2,showing 3,sleep 2,position 1,asleep 2,then 2,surrounded 2,enter 1,center 1,converge 2,allow 1,indicator 2
actively 2,small 2,being 2,served 2,robot 1,bit 2,condition 3,period 2,surface 2,le 3,common 2,obviously 1,found 2,dinning 2,even 2,so 1,off 1,pointing 2,asked 1,pointing 2
facing 2,common 2,having 1,pot 2,i 1,around 2,concept 3,commonly 2,few 2,newest 3,one 2,roughly 1,necessary 2,fit 2,reached 2,person 1,lane 1,rounded 2,clear 1,fact 1
occurring 2,instead 2,typically 1,chair 2,happening 1,crack 2,fact 2,typically 2,am 2,represent 3,acces 2,floor 1,dark 2,dish 2,square 2,assuredly 1,focal 1,came 1,i 1,representation 1
showing 2,background 2,once 1,left 1,off 1,person 2,clean 2,come 2,well 2,fact 2,big 2,i 1,far 2,foot 2,view 2,flow 1,horizontal 1,make 1,placement 1,far 1
going 2,kind 2,beverage 1,fact 1,uneaten 1,sat 2,battered 2,standard 2,fashion 2,order 2,include 2,especially 1,good 2,salt 1,bookshelve 2,clear 1,nothing 1,typically 1,branching 1,south 1
chair 2,get 2,tooth 1,order 1,such 1,abrupt 2,deteriorate 2,therefore 2,past 2,looking 2,wood 2,off 1,fit 2,tall 1,big 2,lead 1,moving 1,once 1,meaning 1,confirm 1
being 2,cube 2,cutlery 1,normally 1,nothing 1,present 2,obviously 2,wear 2,somewhat 2,tech 2,only 2,peice 1,lying 1,time 1,good 2,a 1,lot 1,allow 1,driver 1,thu 1
